Node1	Node2	Sim	Node1Chrname	Node1Chr	Node2Chrname	Node2Chr
soff_lappurple_cm036152.1	soff_lappurple_cm036152.1	1.0	A01	Chr01	A01	Chr01
soff_lappurple_cm036154.1	soff_lappurple_cm036152.1	0.2506999488865663	C01	Chr01	A01	Chr01
soff_lappurple_cm036153.1	soff_lappurple_cm036152.1	0.24264773670139209	B01	Chr01	A01	Chr01
soff_lappurple_cm036157.1	soff_lappurple_cm036152.1	0.24175452988153545	F01	Chr01	A01	Chr01
soff_lappurple_cm036155.1	soff_lappurple_cm036152.1	0.20294093871942034	D01	Chr01	A01	Chr01
soff_lappurple_cm036159.1	soff_lappurple_cm036152.1	0.2017005695687551	H01	Chr01	A01	Chr01
soff_lappurple_cm036156.1	soff_lappurple_cm036152.1	0.19604018052118213	E01	Chr01	A01	Chr01
soff_lappurple_cm036158.1	soff_lappurple_cm036152.1	0.19156911543306604	G01	Chr01	A01	Chr01
sspo_npx_cm039580.1	soff_lappurple_cm036152.1	0.12913909603332982	1B	Chr01	A01	Chr01
sspo_ap85441_cm010684.1	soff_lappurple_cm036152.1	0.1264769704843987	1B	Chr01	A01	Chr01
sspo_ap85441_cm010683.1	soff_lappurple_cm036152.1	0.12566370439991303	1A	Chr01	A01	Chr01
sspo_npx_cm039581.1	soff_lappurple_cm036152.1	0.12555639178582947	1C	Chr01	A01	Chr01
sspo_ap85441_cm010686.1	soff_lappurple_cm036152.1	0.1252439659663136	1D	Chr01	A01	Chr01
sspo_npx_cm039579.1	soff_lappurple_cm036152.1	0.12259356452464089	1A	Chr01	A01	Chr01
sspo_npx_cm039582.1	soff_lappurple_cm036152.1	0.12213603012888802	1D	Chr01	A01	Chr01
sspo_ap85441_cm010685.1	soff_lappurple_cm036152.1	0.12187998072574965	1C	Chr01	A01	Chr01
soff_lappurple_cm036153.1	soff_lappurple_cm036153.1	1.0	B01	Chr01	B01	Chr01
soff_lappurple_cm036152.1	soff_lappurple_cm036153.1	0.24264773670139209	A01	Chr01	B01	Chr01
soff_lappurple_cm036158.1	soff_lappurple_cm036153.1	0.20784248395567084	G01	Chr01	B01	Chr01
soff_lappurple_cm036154.1	soff_lappurple_cm036153.1	0.207725991242277	C01	Chr01	B01	Chr01
soff_lappurple_cm036156.1	soff_lappurple_cm036153.1	0.2014392772357542	E01	Chr01	B01	Chr01
soff_lappurple_cm036159.1	soff_lappurple_cm036153.1	0.1970804126438302	H01	Chr01	B01	Chr01
soff_lappurple_cm036157.1	soff_lappurple_cm036153.1	0.18585705230042024	F01	Chr01	B01	Chr01
soff_lappurple_cm036155.1	soff_lappurple_cm036153.1	0.1812959997649513	D01	Chr01	B01	Chr01
sspo_npx_cm039580.1	soff_lappurple_cm036153.1	0.12662801863641213	1B	Chr01	B01	Chr01
sspo_ap85441_cm010686.1	soff_lappurple_cm036153.1	0.12658666949842484	1D	Chr01	B01	Chr01
sspo_npx_cm039581.1	soff_lappurple_cm036153.1	0.12213390400489146	1C	Chr01	B01	Chr01
sspo_ap85441_cm010684.1	soff_lappurple_cm036153.1	0.12062280925261512	1B	Chr01	B01	Chr01
sspo_npx_cm039579.1	soff_lappurple_cm036153.1	0.11986774430565761	1A	Chr01	B01	Chr01
sspo_ap85441_cm010683.1	soff_lappurple_cm036153.1	0.11894704708897423	1A	Chr01	B01	Chr01
sspo_ap85441_cm010685.1	soff_lappurple_cm036153.1	0.10336960076102143	1C	Chr01	B01	Chr01
sspo_npx_cm039582.1	soff_lappurple_cm036153.1	0.09813388426040287	1D	Chr01	B01	Chr01
soff_lappurple_cm036154.1	soff_lappurple_cm036154.1	1.0	C01	Chr01	C01	Chr01
soff_lappurple_cm036152.1	soff_lappurple_cm036154.1	0.2506999488865663	A01	Chr01	C01	Chr01
soff_lappurple_cm036153.1	soff_lappurple_cm036154.1	0.207725991242277	B01	Chr01	C01	Chr01
soff_lappurple_cm036157.1	soff_lappurple_cm036154.1	0.19370488900994143	F01	Chr01	C01	Chr01
soff_lappurple_cm036156.1	soff_lappurple_cm036154.1	0.1916181920625977	E01	Chr01	C01	Chr01
soff_lappurple_cm036155.1	soff_lappurple_cm036154.1	0.18748511077582783	D01	Chr01	C01	Chr01
soff_lappurple_cm036159.1	soff_lappurple_cm036154.1	0.1840324883178606	H01	Chr01	C01	Chr01
soff_lappurple_cm036158.1	soff_lappurple_cm036154.1	0.17580382834980607	G01	Chr01	C01	Chr01
sspo_npx_cm039580.1	soff_lappurple_cm036154.1	0.130413733747272	1B	Chr01	C01	Chr01
sspo_npx_cm039581.1	soff_lappurple_cm036154.1	0.12872186628536217	1C	Chr01	C01	Chr01
sspo_ap85441_cm010686.1	soff_lappurple_cm036154.1	0.12740193985237602	1D	Chr01	C01	Chr01
sspo_ap85441_cm010683.1	soff_lappurple_cm036154.1	0.12593390528219137	1A	Chr01	C01	Chr01
sspo_ap85441_cm010684.1	soff_lappurple_cm036154.1	0.1254746917754773	1B	Chr01	C01	Chr01
sspo_npx_cm039579.1	soff_lappurple_cm036154.1	0.12486450296499395	1A	Chr01	C01	Chr01
sspo_npx_cm039582.1	soff_lappurple_cm036154.1	0.12105533295804496	1D	Chr01	C01	Chr01
sspo_ap85441_cm010685.1	soff_lappurple_cm036154.1	0.11832944744264914	1C	Chr01	C01	Chr01
soff_lappurple_cm036155.1	soff_lappurple_cm036155.1	1.0	D01	Chr01	D01	Chr01
soff_lappurple_cm036156.1	soff_lappurple_cm036155.1	0.2756150069350488	E01	Chr01	D01	Chr01
soff_lappurple_cm036152.1	soff_lappurple_cm036155.1	0.20294093871942034	A01	Chr01	D01	Chr01
